ORDERNUMBER	QUANTITYORDERED	
10107	30	
10121	34	
10134	41	
10145	45	
10159	49	
10168	36	
10180	29	
10188	48	
10201	22	
10211	41	
10223	37	
10237	23	
10251	28	
10263	34	
10275	45	
10285	36	
10299	23	
10309	41	
10318	46	
10329	42	
10341	41	
10361	20	
10375	21	
10388	42	
10403	24	
10417	66	
10103	26	
10112	29	
10126	38	Large
10140	37	
10150	45	Large
10163	21	
10174	34	
10183	23	
10194	42	Large
10206	47	
10215	35	
10228	29	
10245	34	
10258	32	
10270	21	
10280	34	
10291	37	
10304	47	
10312	48	
10322	40	
10333	26	
10347	30	
10357	32	
10369	41	
10381	36	
10391	24	
10411	23	
10424	50	
10107	39	
10120	29	
10134	27	
10145	37	
10159	37	
10168	27	
10180	42	
10188	38	
10201	24	
10210	23	Medium
10223	47	
10236	22	
10251	44	
10263	40	
10275	22	
10285	47	
10298	39	
10308	34	
10318	45	
10329	20	
10339	40	
10361	26	
10374	39	
10388	50	
10402	45	
10417	45	
10107	27	
10120	46	
10134	31	
10145	33	
10159	22	
10168	20	
10180	41	
10188	45	
10201	49	
10210	34	Medium
10223	49	
10237	39	
10251	43	
10263	41	
10275	36	
10285	27	
10299	29	
10308	20	
10318	37	
10329	26	
10339	39	
10362	22	
10374	22	
10388	21	
10403	66	
10417	56	
10105	50	
10119	46	
10129	33	
10143	49	
10155	32	
10167	44	
10178	24	
10186	26	
10197	45	
10209	39	
10222	49	
10248	20	
10261	27	
10273	30	
10283	25	
10295	24	
10307	22	
10316	33	
10325	47	
10337	25	
10350	26	
10359	48	
10373	39	
10384	34	
10395	32	
10400	64	
10414	19	
10103	42	
10114	31	Medium
10126	22	Medium
10140	26	
10150	20	Medium
10164	21	
10175	33	
10183	28	
10194	26	Medium
10207	31	
10217	48	
10229	50	
10245	28	
10259	26	
10270	32	
10281	44	
10291	30	
10305	38	
10313	40	
10322	46	
10334	26	
10347	27	
10357	43	
10370	35	
10381	37	
10391	37	
10411	27	
10425	38	
10108	33	
10122	42	
10135	42	
10147	48	
10159	41	
10169	30	
10181	27	
10191	21	
10203	20	
10211	41	
10225	27	
10238	28	
10253	24	
10266	44	
10276	50	
10287	21	
10300	33	
10310	33	
10320	31	
10329	41	
10341	45	
10363	33	
10375	45	
10389	26	
10419	12	
10105	41	
10117	33	Medium
10127	46	
10142	33	
10153	20	
10165	44	Large
10176	33	
10185	21	
10196	47	
10208	46	Large
10220	32	
10231	42	
10247	44	
10272	35	
10282	41	
10293	46	
10306	31	
10314	38	
10325	42	
10336	33	Small
10348	48	Small
10359	42	
10371	32	
10382	34	
10395	33	
10413	36	
10103	27	
10113	21	
10126	21	Small
10140	38	
10150	30	Medium
10164	49	
10174	43	
10183	41	
10194	38	Medium
10206	28	
10216	43	
10229	25	
10245	38	
10258	41	
10270	28	
10281	25	
10291	41	
10304	39	
10313	21	
10322	27	
10333	33	
10347	29	
10357	49	
10370	49	
10381	20	
10391	39	
10411	40	
10424	49	
10107	21	
10121	50	
10134	20	
10145	49	
10159	38	
10169	35	
10180	40	
10189	28	
10201	25	
10211	36	
10224	43	
10237	32	
10251	46	
10263	48	
10276	43	
10285	49	
10299	24	
10309	26	
10319	30	
10329	24	
10341	55	
10362	22	
10375	49	
10388	44	
10403	66	
10417	21	
10104	34	
10117	43	Medium
10127	46	
10142	33	
10153	42	
10165	34	Medium
10176	47	
10185	33	
10196	24	
10208	26	Medium
10220	30	
10230	43	
10247	25	
10272	27	
10282	27	
10293	24	
10306	34	
10314	46	
10324	27	
10336	33	Medium
10348	47	Medium
10358	49	
10372	40	
10382	37	
10413	47	
10108	45	
10122	37	
10135	48	
10147	31	
10160	46	
10170	47	
10181	28	
10191	40	
10203	20	
10212	39	
10225	25	
10238	29	
10253	22	
10266	22	
10276	47	
10287	45	
10300	29	
10310	24	
10320	35	
10329	46	
10341	44	
10363	34	
10376	35	
10389	25	
10419	10	
10105	29	
10117	39	Medium
10127	42	
10142	46	
10153	49	
10165	27	Medium
10176	50	
10185	43	
10196	38	
10208	20	Medium
10220	27	
10231	49	
10247	27	
10272	39	
10282	24	
10293	45	
10306	20	
10314	36	
10325	24	
10336	49	Medium
10349	26	
10359	49	
10372	34	
10382	34	
10396	33	
10413	22	
10108	39	
10122	32	
10135	24	
10147	21	
10159	24	
10169	36	
10181	20	
10191	30	
10203	44	
10211	28	
10225	37	
10238	20	
10253	25	
10266	35	
10276	38	
10287	41	
10300	22	
10310	49	
10320	38	
10329	33	
10341	36	
10363	34	
10377	24	
10389	36	
10419	34	
10104	41	
10115	46	
10127	24	
10141	21	
10151	24	
10165	48	Medium
10175	26	
10184	37	Medium
10195	49	
10207	34	
10219	48	
10229	36	
10246	46	
10259	46	
10271	31	
10281	41	
10292	21	
10305	38	
10314	45	
10324	26	
10336	38	Medium
10349	48	
10358	42	
10371	49	
10382	32	
10412	54	
10425	33	
10108	36	
10122	20	
10135	29	
10147	33	
10160	50	
10170	41	
10181	36	
10192	27	
10203	47	
10212	33	
10225	21	
10239	21	
10253	41	
10266	40	
10277	28	Medium
10287	23	
10300	23	
10310	25	
10321	24	
10329	39	
10341	55	
10363	46	
10377	50	
10389	47	
10405	97	
10419	32	
10103	35	
10113	49	
10126	38	Medium
10140	32	
10150	34	Medium
10164	36	
10174	48	
10183	21	
10194	21	Small
10206	34	
10215	46	
10228	32	
10245	29	
10258	41	
10270	43	
10280	24	
